Entity,Code,Year,"Gross enrolment ratio, tertiary, gender parity index (GPI)"
Low-income countries,,1987,0.40935999155044606
Low-income countries,,1988,0.41032001376152
Low-income countries,,1989,0.4103899896144871
Low-income countries,,1990,0.41609999537468
Low-income countries,,1991,0.41146999597549394
Low-income countries,,1992,0.41376000642776506
Low-income countries,,1993,0.41499999165534995
Low-income countries,,1994,0.414779990911484
Low-income countries,,1995,0.41075000166893
Low-income countries,,1996,0.410299986600876
Low-income countries,,1997,0.41115999221801797
Low-income countries,,1998,0.41560000181198103
Low-income countries,,1999,0.41936999559402505
Low-income countries,,2000,0.43051999807357794
Low-income countries,,2001,0.420349985361099
Low-income countries,,2002,0.425570011138916
Low-income countries,,2003,0.42901998758315996
Low-income countries,,2004,0.436260014772415
Low-income countries,,2005,0.455049991607666
Low-income countries,,2006,0.459140002727509
Low-income countries,,2007,0.46480000019073503
Low-income countries,,2008,0.47352001070976296
Low-income countries,,2009,0.481029987335205
Low-income countries,,2010,0.49505999684333796
Low-income countries,,2011,0.5099700093269349
Low-income countries,,2012,0.533739984035492
Low-income countries,,2013,0.537970006465912
Low-income countries,,2014,0.5447599887847899
Low-income countries,,2015,0.5525199770927429
Lower-middle-income countries,,1970,0.5994200110435489
Lower-middle-income countries,,1971,0.605000019073486
Lower-middle-income countries,,1972,0.606760025024414
Lower-middle-income countries,,1973,0.6030899882316589
Lower-middle-income countries,,1974,0.6031100153923029
Lower-middle-income countries,,1975,0.604759991168976
Lower-middle-income countries,,1976,0.6079699993133539
Lower-middle-income countries,,1977,0.6217700242996221
Lower-middle-income countries,,1978,0.6251699924468989
Lower-middle-income countries,,1979,0.638450026512145
Lower-middle-income countries,,1980,0.635819971561432
Lower-middle-income countries,,1981,0.637709975242615
Lower-middle-income countries,,1982,0.661050021648406
Lower-middle-income countries,,1983,0.6462000012397769
Lower-middle-income countries,,1984,0.639419972896576
Lower-middle-income countries,,1985,0.655099987983704
Lower-middle-income countries,,1986,0.645730018615723
Lower-middle-income countries,,1987,0.639980018138886
Lower-middle-income countries,,1988,0.677869975566864
Lower-middle-income countries,,1989,0.685410022735596
Lower-middle-income countries,,1990,0.692550003528594
Lower-middle-income countries,,1991,0.712050020694733
Lower-middle-income countries,,1992,0.719720005989075
Lower-middle-income countries,,1993,0.7289699912071229
Lower-middle-income countries,,1994,0.731220006942749
Lower-middle-income countries,,1995,0.736540019512177
Lower-middle-income countries,,1996,0.73496001958847
Lower-middle-income countries,,1997,0.7490400075912479
Lower-middle-income countries,,1998,0.765640020370483
Lower-middle-income countries,,1999,0.789709985256195
Lower-middle-income countries,,2000,0.7948300242424008
Lower-middle-income countries,,2001,0.7936599850654599
Lower-middle-income countries,,2002,0.8266800045967099
Lower-middle-income countries,,2003,0.8129500150680541
Lower-middle-income countries,,2004,0.807240009307861
Lower-middle-income countries,,2005,0.83244001865387
Lower-middle-income countries,,2006,0.860610008239746
Lower-middle-income countries,,2007,0.8438599705696109
Lower-middle-income countries,,2008,0.841880023479462
Lower-middle-income countries,,2009,0.844860017299652
Lower-middle-income countries,,2010,0.8464800119400021
Lower-middle-income countries,,2011,0.8590899705886841
Lower-middle-income countries,,2012,0.923110008239746
Lower-middle-income countries,,2013,0.9639300107955929
Lower-middle-income countries,,2014,0.9957600235939029
Lower-middle-income countries,,2015,0.991900026798248
Luxembourg,LUX,1971,0.744199991226196
Luxembourg,LUX,1972,0.89148998260498
Luxembourg,LUX,1973,0.879190027713776
Luxembourg,LUX,1974,0.857200026512145
Luxembourg,LUX,1975,0.8734700083732609
Luxembourg,LUX,1976,0.7512000203132629
Luxembourg,LUX,1977,0.7367200255393979
Luxembourg,LUX,1978,0.7450100183486942
Luxembourg,LUX,1979,0.768010020256042
Luxembourg,LUX,1980,0.8884999752044681
Luxembourg,LUX,1981,0.5419300198554989
Luxembourg,LUX,1982,0.533949971199036
Luxembourg,LUX,1983,0.468639999628067
Luxembourg,LUX,1984,0.554059982299805
Luxembourg,LUX,1985,0.519420027732849
Luxembourg,LUX,1986,0.522700011730194
Luxembourg,LUX,1987,0.44268000125884993
Luxembourg,LUX,2001,1.16632997989655
Luxembourg,LUX,2003,1.19237005710602
Luxembourg,LUX,2006,1.1344900131225601
